
          ============================================================  
                                     NEWTON-X                           
                   Newtonian dynamics close to the crossing seam        
          ============================================================  

                                  www.newtonx.org                       

    Newton-X version 1.4.0 (build 2, 15/August/2013)
    www.newtonx.org
    Contact: barbatti@kofo.mpg.de
-----------------------------------------------------------------------
The Newton-X program is distributed free of charge for non-commercial 
and non-profit uses. You may use the program freely and
adapt the code to your needs. Please, if you have any enhancements. 
share them with us. You are, however, not allowed to re-distribute code 
or binaries in parts or total. Anyone intending to use Newton-X must 
contact us. This program is shipped to the user "as is". There is no 
guarantee that it will work as described. Usage is at your own risk, 
there is no liability taken for any damage or loss of data and/or money.
If you experience problems please tell the developers supplying the
version-number - they are always grateful for any hint, but bear in
mind that there is no kind of official support for Newton-X.

Cite Newton-X as:
M. Barbatti, G. Granucci, M. Ruckenbauer, F. Plasser, J. Pittner, 
M. Persico, H. Lischka, NEWTON-X: a package for Newtonian dynamics 
close to the crossing seam, version 1.4, www.newtonx.org (2013).

M. Barbatti, G. Granucci, M. Persico, M. Ruckenbauer, M. Vazdar, M.
Eckert-Maksic, and H. Lischka, J. Photochem. Photobio. A 190, 228 (2007).
-----------------------------------------------------------------------

Starting Initial Condition selection 
 

makedir.pl:
       title     = title
       type      = 1
       subfile   = pmold
       batchdef  = #PBS -N
       seed      = 1234
       nis       = 1
       nfs       = 2
       delta     = 0.05
       eps       = 0.005
       kappa     = 3
       os_condon = -1
       prob_kind = F 
       screen    = 0 
       norm      = local 
       e_center  = 0 
       e_var     = 0.5 
       nref      = 1 
       temp      = 0
       l_shape   = gauss
       prtlv     = 1 



 The following transitions will be considered:
 Initial state = 1   =>   Final state = 2


====== Checking obligatory files and directories =====

Number of points for state 2 = 500
File final_output.1.2 exists.
This file will be used to generate spectrum. 


======             Ending checking               =====

Energy transitions will not be restricted.

makedir.pl: 
The largest transition intensity in final_output has
oscillator strength 3.4584 and vertical excitation energy (eV) 2.6578.
Normalization factor for probabilities F = 3.4584.

ini.state  fin.state   DE    Osc.St. Intensity  Energ.Window  Prob      Rand.N.  Status
   1          2       2.686   2.507   2.50720      YES        0.72496   1.00000  accept 
   1          2       2.855   2.746   2.74570      YES        0.79392   1.00000  accept 
   1          2       2.337   3.106   3.10620      YES        0.89816   1.00000  accept 
   1          2       2.738   2.921   2.92120      YES        0.84467   1.00000  accept 
   1          2       2.957   2.825   2.82520      YES        0.81691   1.00000  accept 
   1          2       2.333   3.248   3.24810      YES        0.93919   1.00000  accept 
   1          2       2.842   3.108   3.10770      YES        0.89859   1.00000  accept 
   1          2       2.990   3.064   3.06410      YES        0.88599   1.00000  accept 
   1          2       2.596   3.250   3.25010      YES        0.93977   1.00000  accept 
   1          2       2.832   3.262   3.26170      YES        0.94312   1.00000  accept 
   1          2       3.004   3.141   3.14060      YES        0.90811   1.00000  accept 
   1          2       2.893   3.083   3.08290      YES        0.89142   1.00000  accept 
   1          2       3.013   2.834   2.83400      YES        0.81945   1.00000  accept 
   1          2       3.059   3.153   3.15310      YES        0.91172   1.00000  accept 
   1          2       2.838   2.962   2.96170      YES        0.85638   1.00000  accept 
   1          2       2.833   2.953   2.95300      YES        0.85386   1.00000  accept 
   1          2       3.374   3.011   3.01140      YES        0.87075   1.00000  accept 
   1          2       3.044   3.170   3.16990      YES        0.91658   1.00000  accept 
   1          2       3.133   2.919   2.91920      YES        0.84409   1.00000  accept 
   1          2       3.285   2.997   2.99700      YES        0.86659   1.00000  accept 
   1          2       2.737   2.789   2.78920      YES        0.80650   1.00000  accept 
   1          2       2.538   2.952   2.95240      YES        0.85369   1.00000  accept 
   1          2       2.837   3.279   3.27940      YES        0.94824   1.00000  accept 
   1          2       2.921   2.941   2.94130      YES        0.85048   1.00000  accept 
   1          2       2.760   3.353   3.35300      YES        0.96952   1.00000  accept 
   1          2       2.993   2.686   2.68560      YES        0.77654   1.00000  accept 
   1          2       3.196   3.317   3.31720      YES        0.95917   1.00000  accept 
   1          2       3.077   3.029   3.02860      YES        0.87572   1.00000  accept 
   1          2       2.626   3.041   3.04090      YES        0.87928   1.00000  accept 
   1          2       2.652   2.912   2.91200      YES        0.84201   1.00000  accept 
   1          2       2.278   2.997   2.99680      YES        0.86653   1.00000  accept 
   1          2       2.940   3.235   3.23480      YES        0.93535   1.00000  accept 
   1          2       2.527   3.425   3.42510      YES        0.99037   1.00000  accept 
   1          2       3.054   3.049   3.04920      YES        0.88168   1.00000  accept 
   1          2       2.677   3.007   3.00680      YES        0.86942   1.00000  accept 
   1          2       3.179   2.939   2.93900      YES        0.84981   1.00000  accept 
   1          2       2.616   2.978   2.97780      YES        0.86103   1.00000  accept 
   1          2       2.940   3.084   3.08410      YES        0.89177   1.00000  accept 
   1          2       3.339   2.988   2.98840      YES        0.86410   1.00000  accept 
   1          2       2.668   2.599   2.59910      YES        0.75153   1.00000  accept 
   1          2       2.846   3.324   3.32380      YES        0.96108   1.00000  accept 
   1          2       3.132   3.153   3.15270      YES        0.91161   1.00000  accept 
   1          2       3.165   3.029   3.02890      YES        0.87581   1.00000  accept 
   1          2       2.639   2.948   2.94840      YES        0.85253   1.00000  accept 
   1          2       2.714   2.965   2.96450      YES        0.85719   1.00000  accept 
   1          2       2.205   2.974   2.97360      YES        0.85982   1.00000  accept 
   1          2       2.660   3.088   3.08780      YES        0.89284   1.00000  accept 
   1          2       2.805   2.505   2.50520      YES        0.72438   1.00000  accept 
   1          2       2.667   3.041   3.04140      YES        0.87942   1.00000  accept 
   1          2       2.745   3.089   3.08870      YES        0.89310   1.00000  accept 
   1          2       2.723   2.592   2.59180      YES        0.74942   1.00000  accept 
   1          2       3.328   2.985   2.98490      YES        0.86309   1.00000  accept 
   1          2       2.899   3.042   3.04200      YES        0.87960   1.00000  accept 
   1          2       2.619   3.222   3.22190      YES        0.93162   1.00000  accept 
   1          2       3.086   2.961   2.96120      YES        0.85623   1.00000  accept 
   1          2       2.989   3.164   3.16430      YES        0.91496   1.00000  accept 
   1          2       3.443   3.177   3.17700      YES        0.91863   1.00000  accept 
   1          2       3.465   2.938   2.93790      YES        0.84950   1.00000  accept 
   1          2       3.043   3.197   3.19670      YES        0.92433   1.00000  accept 
   1          2       3.140   3.087   3.08710      YES        0.89264   1.00000  accept 
   1          2       2.874   3.115   3.11450      YES        0.90056   1.00000  accept 
   1          2       2.987   3.064   3.06420      YES        0.88602   1.00000  accept 
   1          2       2.781   2.987   2.98690      YES        0.86367   1.00000  accept 
   1          2       2.887   2.889   2.88900      YES        0.83536   1.00000  accept 
   1          2       2.915   3.005   3.00520      YES        0.86896   1.00000  accept 
   1          2       2.504   3.030   3.03030      YES        0.87621   1.00000  accept 
   1          2       2.817   2.534   2.53440      YES        0.73282   1.00000  accept 
   1          2       2.740   3.136   3.13580      YES        0.90672   1.00000  accept 
   1          2       2.742   3.361   3.36110      YES        0.97187   1.00000  accept 
   1          2       2.381   2.920   2.91980      YES        0.84426   1.00000  accept 
   1          2       2.650   3.244   3.24360      YES        0.93789   1.00000  accept 
   1          2       3.176   3.163   3.16250      YES        0.91444   1.00000  accept 
   1          2       2.512   3.073   3.07300      YES        0.88856   1.00000  accept 
   1          2       2.759   2.941   2.94080      YES        0.85034   1.00000  accept 
   1          2       3.038   2.717   2.71680      YES        0.78557   1.00000  accept 
   1          2       3.046   3.096   3.09600      YES        0.89521   1.00000  accept 
   1          2       2.482   2.807   2.80680      YES        0.81159   1.00000  accept 
   1          2       2.516   3.097   3.09660      YES        0.89539   1.00000  accept 
   1          2       3.223   2.956   2.95630      YES        0.85482   1.00000  accept 
   1          2       3.013   3.111   3.11050      YES        0.89940   1.00000  accept 
   1          2       3.116   2.672   2.67180      YES        0.77255   1.00000  accept 
   1          2       3.159   3.144   3.14390      YES        0.90906   1.00000  accept 
   1          2       2.783   2.780   2.78050      YES        0.80398   1.00000  accept 
   1          2       2.686   2.976   2.97550      YES        0.86037   1.00000  accept 
   1          2       2.949   2.892   2.89230      YES        0.83631   1.00000  accept 
   1          2       2.981   2.758   2.75780      YES        0.79742   1.00000  accept 
   1          2       3.006   3.321   3.32080      YES        0.96021   1.00000  accept 
   1          2       2.680   3.262   3.26230      YES        0.94330   1.00000  accept 
   1          2       2.783   3.306   3.30640      YES        0.95605   1.00000  accept 
   1          2       2.782   3.034   3.03350      YES        0.87714   1.00000  accept 
   1          2       3.091   2.908   2.90770      YES        0.84076   1.00000  accept 
   1          2       3.186   2.969   2.96890      YES        0.85846   1.00000  accept 
   1          2       2.963   3.178   3.17800      YES        0.91892   1.00000  accept 
   1          2       2.929   2.837   2.83670      YES        0.82023   1.00000  accept 
   1          2       2.973   3.256   3.25570      YES        0.94139   1.00000  accept 
   1          2       3.043   2.902   2.90180      YES        0.83906   1.00000  accept 
   1          2       2.733   2.832   2.83220      YES        0.81893   1.00000  accept 
   1          2       2.684   3.176   3.17570      YES        0.91826   1.00000  accept 
   1          2       2.800   2.978   2.97770      YES        0.86101   1.00000  accept 
   1          2       2.914   2.883   2.88340      YES        0.83374   1.00000  accept 
   1          2       3.284   2.540   2.54020      YES        0.73450   1.00000  accept 
   1          2       2.635   2.714   2.71370      YES        0.78467   1.00000  accept 
   1          2       2.583   3.184   3.18410      YES        0.92069   1.00000  accept 
   1          2       3.124   3.070   3.07000      YES        0.88769   1.00000  accept 
   1          2       2.655   3.220   3.22020      YES        0.93112   1.00000  accept 
   1          2       2.984   3.166   3.16640      YES        0.91557   1.00000  accept 
   1          2       2.905   3.244   3.24350      YES        0.93786   1.00000  accept 
   1          2       3.004   2.723   2.72310      YES        0.78739   1.00000  accept 
   1          2       3.169   2.671   2.67060      YES        0.77221   1.00000  accept 
   1          2       2.619   2.723   2.72310      YES        0.78739   1.00000  accept 
   1          2       2.890   3.100   3.09980      YES        0.89631   1.00000  accept 
   1          2       2.873   3.246   3.24630      YES        0.93867   1.00000  accept 
   1          2       2.658   3.458   3.45840      YES        1.00000   1.00000  accept 
   1          2       3.378   3.108   3.10800      YES        0.89868   1.00000  accept 
   1          2       2.472   2.903   2.90300      YES        0.83941   1.00000  accept 
   1          2       3.171   3.140   3.14030      YES        0.90802   1.00000  accept 
   1          2       3.292   3.005   3.00530      YES        0.86899   1.00000  accept 
   1          2       2.546   3.303   3.30260      YES        0.95495   1.00000  accept 
   1          2       2.918   3.319   3.31930      YES        0.95978   1.00000  accept 
   1          2       2.836   2.554   2.55400      YES        0.73849   1.00000  accept 
   1          2       3.082   2.840   2.83990      YES        0.82116   1.00000  accept 
   1          2       2.639   2.863   2.86320      YES        0.82790   1.00000  accept 
   1          2       2.879   3.272   3.27170      YES        0.94602   1.00000  accept 
   1          2       3.115   3.078   3.07840      YES        0.89012   1.00000  accept 
   1          2       2.721   3.211   3.21080      YES        0.92841   1.00000  accept 
   1          2       2.781   3.092   3.09250      YES        0.89420   1.00000  accept 
   1          2       2.669   2.979   2.97890      YES        0.86135   1.00000  accept 
   1          2       2.738   2.998   2.99820      YES        0.86693   1.00000  accept 
   1          2       2.878   3.205   3.20470      YES        0.92664   1.00000  accept 
   1          2       2.653   2.672   2.67160      YES        0.77250   1.00000  accept 
   1          2       2.617   3.385   3.38550      YES        0.97892   1.00000  accept 
   1          2       2.707   2.981   2.98120      YES        0.86202   1.00000  accept 
   1          2       2.726   2.811   2.81060      YES        0.81269   1.00000  accept 
   1          2       3.126   3.129   3.12920      YES        0.90481   1.00000  accept 
   1          2       2.664   2.832   2.83160      YES        0.81876   1.00000  accept 
   1          2       2.854   3.219   3.21880      YES        0.93072   1.00000  accept 
   1          2       2.976   3.222   3.22230      YES        0.93173   1.00000  accept 
   1          2       3.076   3.174   3.17410      YES        0.91779   1.00000  accept 
   1          2       3.064   3.147   3.14690      YES        0.90993   1.00000  accept 
   1          2       3.072   3.055   3.05550      YES        0.88350   1.00000  accept 
   1          2       2.837   2.939   2.93860      YES        0.84970   1.00000  accept 
   1          2       3.106   3.094   3.09390      YES        0.89460   1.00000  accept 
   1          2       3.178   2.993   2.99300      YES        0.86543   1.00000  accept 
   1          2       2.776   3.224   3.22410      YES        0.93225   1.00000  accept 
   1          2       2.681   2.707   2.70650      YES        0.78259   1.00000  accept 
   1          2       2.890   3.136   3.13590      YES        0.90675   1.00000  accept 
   1          2       2.840   3.137   3.13730      YES        0.90715   1.00000  accept 
   1          2       3.199   3.031   3.03110      YES        0.87645   1.00000  accept 
   1          2       2.955   3.138   3.13770      YES        0.90727   1.00000  accept 
   1          2       2.730   3.125   3.12530      YES        0.90368   1.00000  accept 
   1          2       2.920   3.122   3.12190      YES        0.90270   1.00000  accept 
   1          2       3.066   3.093   3.09270      YES        0.89426   1.00000  accept 
   1          2       2.663   3.078   3.07810      YES        0.89004   1.00000  accept 
   1          2       3.620   2.567   2.56660      YES        0.74214   1.00000  accept 
   1          2       3.009   2.661   2.66140      YES        0.76955   1.00000  accept 
   1          2       3.005   3.050   3.05010      YES        0.88194   1.00000  accept 
   1          2       2.885   3.046   3.04550      YES        0.88061   1.00000  accept 
   1          2       3.377   3.232   3.23210      YES        0.93457   1.00000  accept 
   1          2       3.062   3.164   3.16410      YES        0.91490   1.00000  accept 
   1          2       2.554   3.078   3.07820      YES        0.89006   1.00000  accept 
   1          2       3.040   2.919   2.91900      YES        0.84403   1.00000  accept 
   1          2       2.777   3.197   3.19720      YES        0.92447   1.00000  accept 
   1          2       3.119   2.741   2.74130      YES        0.79265   1.00000  accept 
   1          2       2.509   2.729   2.72920      YES        0.78915   1.00000  accept 
   1          2       3.276   2.832   2.83210      YES        0.81890   1.00000  accept 
   1          2       3.085   3.076   3.07580      YES        0.88937   1.00000  accept 
   1          2       2.953   2.851   2.85110      YES        0.82440   1.00000  accept 
   1          2       2.986   3.281   3.28110      YES        0.94873   1.00000  accept 
   1          2       3.398   3.273   3.27340      YES        0.94651   1.00000  accept 
   1          2       2.988   2.891   2.89130      YES        0.83602   1.00000  accept 
   1          2       2.852   2.945   2.94520      YES        0.85161   1.00000  accept 
   1          2       2.692   3.083   3.08300      YES        0.89145   1.00000  accept 
   1          2       3.275   2.902   2.90180      YES        0.83906   1.00000  accept 
   1          2       3.144   2.797   2.79670      YES        0.80867   1.00000  accept 
   1          2       3.188   3.053   3.05270      YES        0.88269   1.00000  accept 
   1          2       2.753   2.934   2.93420      YES        0.84843   1.00000  accept 
   1          2       3.134   3.001   3.00120      YES        0.86780   1.00000  accept 
   1          2       3.010   3.255   3.25540      YES        0.94130   1.00000  accept 
   1          2       3.070   3.069   3.06910      YES        0.88743   1.00000  accept 
   1          2       2.942   2.698   2.69760      YES        0.78001   1.00000  accept 
   1          2       2.634   3.157   3.15660      YES        0.91273   1.00000  accept 
   1          2       2.822   3.043   3.04300      YES        0.87989   1.00000  accept 
   1          2       3.051   3.050   3.05030      YES        0.88200   1.00000  accept 
   1          2       3.192   3.105   3.10460      YES        0.89770   1.00000  accept 
   1          2       2.825   3.385   3.38510      YES        0.97881   1.00000  accept 
   1          2       3.183   3.296   3.29640      YES        0.95316   1.00000  accept 
   1          2       2.545   2.840   2.83960      YES        0.82107   1.00000  accept 
   1          2       2.840   2.900   2.90020      YES        0.83860   1.00000  accept 
   1          2       2.676   3.316   3.31640      YES        0.95894   1.00000  accept 
   1          2       3.480   3.404   3.40370      YES        0.98418   1.00000  accept 
   1          2       2.762   3.142   3.14220      YES        0.90857   1.00000  accept 
   1          2       2.726   3.077   3.07690      YES        0.88969   1.00000  accept 
   1          2       2.978   3.184   3.18370      YES        0.92057   1.00000  accept 
   1          2       2.936   2.998   2.99780      YES        0.86682   1.00000  accept 
   1          2       2.608   2.913   2.91280      YES        0.84224   1.00000  accept 
   1          2       2.823   2.833   2.83270      YES        0.81908   1.00000  accept 
   1          2       2.967   3.272   3.27160      YES        0.94599   1.00000  accept 
   1          2       2.773   2.595   2.59540      YES        0.75046   1.00000  accept 
   1          2       2.968   3.060   3.06000      YES        0.88480   1.00000  accept 
   1          2       2.980   2.977   2.97730      YES        0.86089   1.00000  accept 
   1          2       3.089   3.110   3.11030      YES        0.89935   1.00000  accept 
   1          2       2.808   2.912   2.91230      YES        0.84209   1.00000  accept 
   1          2       2.334   3.206   3.20630      YES        0.92711   1.00000  accept 
   1          2       2.940   3.082   3.08160      YES        0.89105   1.00000  accept 
   1          2       2.541   2.702   2.70240      YES        0.78140   1.00000  accept 
   1          2       3.008   2.992   2.99200      YES        0.86514   1.00000  accept 
   1          2       3.768   2.886   2.88610      YES        0.83452   1.00000  accept 
   1          2       3.306   2.899   2.89940      YES        0.83836   1.00000  accept 
   1          2       2.788   2.939   2.93860      YES        0.84970   1.00000  accept 
   1          2       3.466   3.090   3.09000      YES        0.89348   1.00000  accept 
   1          2       2.653   3.182   3.18230      YES        0.92017   1.00000  accept 
   1          2       2.886   2.947   2.94670      YES        0.85204   1.00000  accept 
   1          2       2.518   3.073   3.07270      YES        0.88847   1.00000  accept 
   1          2       3.291   3.234   3.23370      YES        0.93503   1.00000  accept 
   1          2       3.031   3.047   3.04670      YES        0.88096   1.00000  accept 
   1          2       2.875   3.038   3.03790      YES        0.87841   1.00000  accept 
   1          2       2.891   3.050   3.04980      YES        0.88185   1.00000  accept 
   1          2       2.880   3.267   3.26670      YES        0.94457   1.00000  accept 
   1          2       2.296   3.061   3.06090      YES        0.88506   1.00000  accept 
   1          2       2.740   2.921   2.92110      YES        0.84464   1.00000  accept 
   1          2       2.839   2.967   2.96670      YES        0.85782   1.00000  accept 
   1          2       2.987   3.027   3.02720      YES        0.87532   1.00000  accept 
   1          2       2.751   3.309   3.30890      YES        0.95677   1.00000  accept 
   1          2       3.139   2.909   2.90890      YES        0.84111   1.00000  accept 
   1          2       2.839   3.300   3.29950      YES        0.95405   1.00000  accept 
   1          2       3.173   3.252   3.25170      YES        0.94023   1.00000  accept 
   1          2       2.901   3.249   3.24950      YES        0.93960   1.00000  accept 
   1          2       3.250   2.822   2.82250      YES        0.81613   1.00000  accept 
   1          2       2.804   2.482   2.48170      YES        0.71759   1.00000  accept 
   1          2       2.529   3.280   3.28030      YES        0.94850   1.00000  accept 
   1          2       2.680   3.328   3.32820      YES        0.96235   1.00000  accept 
   1          2       2.555   2.636   2.63560      YES        0.76209   1.00000  accept 
   1          2       2.662   3.080   3.07990      YES        0.89056   1.00000  accept 
   1          2       2.747   3.212   3.21150      YES        0.92861   1.00000  accept 
   1          2       3.270   2.855   2.85460      YES        0.82541   1.00000  accept 
   1          2       2.665   2.633   2.63300      YES        0.76133   1.00000  accept 
   1          2       2.815   3.153   3.15340      YES        0.91181   1.00000  accept 
   1          2       2.813   3.079   3.07930      YES        0.89038   1.00000  accept 
   1          2       2.945   2.955   2.95490      YES        0.85441   1.00000  accept 
   1          2       2.700   3.279   3.27900      YES        0.94813   1.00000  accept 
   1          2       3.326   3.266   3.26610      YES        0.94440   1.00000  accept 
   1          2       2.810   3.006   3.00620      YES        0.86925   1.00000  accept 
   1          2       3.248   3.154   3.15380      YES        0.91192   1.00000  accept 
   1          2       2.837   2.732   2.73250      YES        0.79011   1.00000  accept 
   1          2       2.450   2.942   2.94240      YES        0.85080   1.00000  accept 
   1          2       3.426   3.101   3.10090      YES        0.89663   1.00000  accept 
   1          2       3.121   2.853   2.85350      YES        0.82509   1.00000  accept 
   1          2       2.667   2.874   2.87400      YES        0.83102   1.00000  accept 
   1          2       2.816   3.077   3.07660      YES        0.88960   1.00000  accept 
   1          2       2.708   2.724   2.72420      YES        0.78771   1.00000  accept 
   1          2       3.393   2.941   2.94080      YES        0.85034   1.00000  accept 
   1          2       2.792   3.127   3.12720      YES        0.90423   1.00000  accept 
   1          2       2.809   3.264   3.26430      YES        0.94388   1.00000  accept 
   1          2       2.761   3.067   3.06710      YES        0.88686   1.00000  accept 
   1          2       2.750   3.226   3.22630      YES        0.93289   1.00000  accept 
   1          2       2.791   2.846   2.84560      YES        0.82281   1.00000  accept 
   1          2       2.735   3.121   3.12110      YES        0.90247   1.00000  accept 
   1          2       3.314   2.995   2.99540      YES        0.86612   1.00000  accept 
   1          2       3.316   2.821   2.82080      YES        0.81564   1.00000  accept 
   1          2       2.703   3.341   3.34110      YES        0.96608   1.00000  accept 
   1          2       2.663   2.505   2.50490      YES        0.72429   1.00000  accept 
   1          2       2.887   2.916   2.91570      YES        0.84308   1.00000  accept 
   1          2       2.852   2.948   2.94810      YES        0.85245   1.00000  accept 
   1          2       2.705   3.023   3.02350      YES        0.87425   1.00000  accept 
   1          2       2.756   3.135   3.13540      YES        0.90660   1.00000  accept 
   1          2       2.404   3.207   3.20660      YES        0.92719   1.00000  accept 
   1          2       3.026   3.106   3.10550      YES        0.89796   1.00000  accept 
   1          2       3.321   2.807   2.80680      YES        0.81159   1.00000  accept 
   1          2       2.859   3.151   3.15080      YES        0.91106   1.00000  accept 
   1          2       3.161   3.299   3.29910      YES        0.95394   1.00000  accept 
   1          2       2.557   3.007   3.00740      YES        0.86959   1.00000  accept 
   1          2       2.928   3.279   3.27910      YES        0.94816   1.00000  accept 
   1          2       3.107   3.211   3.21050      YES        0.92832   1.00000  accept 
   1          2       3.201   2.943   2.94270      YES        0.85088   1.00000  accept 
   1          2       2.663   3.078   3.07750      YES        0.88986   1.00000  accept 
   1          2       2.838   3.261   3.26150      YES        0.94307   1.00000  accept 
   1          2       3.004   2.513   2.51300      YES        0.72664   1.00000  accept 
   1          2       2.363   3.225   3.22480      YES        0.93245   1.00000  accept 
   1          2       2.851   3.272   3.27240      YES        0.94622   1.00000  accept 
   1          2       3.286   2.747   2.74680      YES        0.79424   1.00000  accept 
   1          2       2.698   3.110   3.11030      YES        0.89935   1.00000  accept 
   1          2       2.829   3.125   3.12460      YES        0.90348   1.00000  accept 
   1          2       3.139   2.717   2.71730      YES        0.78571   1.00000  accept 
   1          2       3.165   2.859   2.85850      YES        0.82654   1.00000  accept 
   1          2       3.011   3.289   3.28910      YES        0.95105   1.00000  accept 
   1          2       3.116   3.349   3.34880      YES        0.96831   1.00000  accept 
   1          2       2.730   2.963   2.96260      YES        0.85664   1.00000  accept 
   1          2       2.768   3.361   3.36130      YES        0.97192   1.00000  accept 
   1          2       2.777   3.255   3.25460      YES        0.94107   1.00000  accept 
   1          2       2.920   2.913   2.91350      YES        0.84244   1.00000  accept 
   1          2       2.921   3.118   3.11770      YES        0.90149   1.00000  accept 
   1          2       2.702   3.021   3.02110      YES        0.87355   1.00000  accept 
   1          2       3.214   3.100   3.10040      YES        0.89648   1.00000  accept 
   1          2       3.060   3.332   3.33180      YES        0.96339   1.00000  accept 
   1          2       3.191   3.018   3.01830      YES        0.87274   1.00000  accept 
   1          2       2.401   3.108   3.10780      YES        0.89862   1.00000  accept 
   1          2       3.194   2.898   2.89850      YES        0.83810   1.00000  accept 
   1          2       2.738   2.986   2.98570      YES        0.86332   1.00000  accept 
   1          2       2.853   2.843   2.84300      YES        0.82206   1.00000  accept 
   1          2       2.845   2.858   2.85790      YES        0.82636   1.00000  accept 
   1          2       2.919   3.186   3.18590      YES        0.92121   1.00000  accept 
   1          2       2.670   3.182   3.18180      YES        0.92002   1.00000  accept 
   1          2       3.281   3.053   3.05320      YES        0.88284   1.00000  accept 
   1          2       2.877   3.106   3.10560      YES        0.89799   1.00000  accept 
   1          2       2.956   3.201   3.20110      YES        0.92560   1.00000  accept 
   1          2       2.491   2.803   2.80310      YES        0.81052   1.00000  accept 
   1          2       2.660   2.822   2.82250      YES        0.81613   1.00000  accept 
